customer_id,customer_name,email,city,state,country,registration_date
15b78fc1-98c5-4357-b294-7fd01c5cf0bb,Customer_5506,user42098@example.com,Delhi,Delhi,India,2020-01-26
3e3cdf6a-b730-4d5f-85d2-0f0572104e26,Customer_2679,user98696@example.com,Chennai,Tamil Nadu,India,2020-05-22
c5b143a3-88a2-40cc-8094-d25efe23b13e,Customer_7912,user14165@example.com,Delhi,Delhi,India,2021-08-27
3d7f40e4-ec3c-4386-8a6c-836ef92e8631,Customer_4582,user40495@example.com,Mumbai,Maharashtra,India,2020-04-05
92726728-9296-451f-8864-807816b6aeed,Customer_4257,user95181@example.com,Mumbai,Maharashtra,India,2021-07-28
74fa8fce-036b-484d-9f22-fe2f32b1ae81,Customer_8359,user87236@example.com,Pune,Maharashtra,India,2020-08-13
4139b63f-5ccd-4123-8264-f48217d5ca9f,Customer_1106,user30926@example.com,Kolkata,West Bengal,India,2022-04-08
4ab9b54f-b68f-4849-b7c6-37fbcca14f42,Customer_5552,user30379@example.com,Pune,Maharashtra,India,2020-12-14
dd99c988-ba5c-483e-bdd6-cdc6afde08aa,Customer_6514,user23396@example.com,Chennai,Tamil Nadu,India,2022-02-20
07e79c12-1e90-47f0-bad9-9887dbb9f5f1,Customer_2584,user57052@example.com,Delhi,Delhi,India,2021-01-24
63cd8573-9cec-454e-bb22-d41f38e0c2b6,Customer_5333,user15695@example.com,Hyderabad,Telangana,India,2021-09-10
2a80a99e-5acc-4a29-9971-5fa1b2046bd6,Customer_3045,user59615@example.com,Ahmedabad,Gujarat,India,2021-07-03
382a3783-bb61-4ccd-a8d0-d8b1148cfc66,Customer_5803,user92397@example.com,Delhi,Delhi,India,2021-07-19
26120850-18bc-463a-819c-bcc410a4fee2,Customer_4150,user19116@example.com,Hyderabad,Telangana,India,2021-08-14
4d8ddec3-34aa-4124-89b5-48d17d434004,Customer_4733,user47930@example.com,Mumbai,Maharashtra,India,2021-11-08
e211d124-f189-4c13-909b-78f907d34e96,Customer_4814,user23238@example.com,Delhi,Delhi,India,2022-05-25
d041daf9-7ba9-4a8b-ad3d-e50adddffe09,Customer_8428,user93320@example.com,Pune,Maharashtra,India,2020-10-11
ad5b2910-f021-463e-9cc2-03e1c20f8fd8,Customer_7065,user56566@example.com,Hyderabad,Telangana,India,2020-06-15
aa4830ff-de50-496c-9151-774d8b5d7bb4,Customer_5374,user99593@example.com,Chennai,Tamil Nadu,India,2021-11-17
c67d63bb-22de-404d-968e-b6b9b88d4b0e,Customer_3803,user80010@example.com,Delhi,Delhi,India,2021-09-15
66c6558a-32dd-4f73-b324-6d75a0d15094,Customer_8573,user59735@example.com,Chennai,Tamil Nadu,India,2020-06-16
a99c0421-b483-4ca3-94cb-1dcb523599cd,Customer_4598,user99733@example.com,Kolkata,West Bengal,India,2021-10-17
7fc39230-8cea-4d0a-bd5e-8216d110af12,Customer_1916,user40021@example.com,Hyderabad,Telangana,India,2022-05-13
a7f6be3f-b302-40e4-b947-9a5ce6ecb594,Customer_6168,user62581@example.com,Mumbai,Maharashtra,India,2022-04-04
d9c4b711-bd53-40d8-8892-65692002644c,Customer_4456,user84341@example.com,Kolkata,West Bengal,India,2020-03-08
3edaaaca-7223-4183-a651-3f58f3e139b0,Customer_9179,user61856@example.com,Hyderabad,Telangana,India,2020-08-05
f6109b7e-9a6b-433c-a31d-effcc3180015,Customer_5339,user28301@example.com,Ahmedabad,Gujarat,India,2020-05-26
38b5cdde-14fc-4626-9ad2-f7b753c41999,Customer_9830,user44438@example.com,Chennai,Tamil Nadu,India,2022-02-01
20f30454-8001-40bf-a803-f103807c6a98,Customer_7543,user57447@example.com,Pune,Maharashtra,India,2021-08-20
bcce131c-8b89-4eb6-9fa3-b701dfc3be8f,Customer_9348,user74686@example.com,Chennai,Tamil Nadu,India,2020-05-21
21d47332-9ca5-43c9-8d41-503511cf128c,Customer_1771,user24371@example.com,Delhi,Delhi,India,2022-02-12
bc3baf5c-ed5f-44a2-a714-df79fcfc10a7,Customer_3621,user99192@example.com,Bangalore,Karnataka,India,2021-10-04
a4b22b48-3efc-491e-bccc-2e3c870b2f57,Customer_2040,user60432@example.com,Pune,Maharashtra,India,2021-09-02
0b3ef3ca-d39e-4ed9-84d4-fcc220ad600c,Customer_8668,user79352@example.com,Pune,Maharashtra,India,2021-09-02
a1aefbbf-860b-4db1-af7c-2aae3308dad5,Customer_1188,user99166@example.com,Kolkata,West Bengal,India,2021-07-20
a13bc8e0-c760-44c6-8935-0ffc59f85e07,Customer_9797,user44973@example.com,Delhi,Delhi,India,2021-11-29
ca3e8730-3f80-47ef-a61a-b128fc03a603,Customer_5808,user66985@example.com,Hyderabad,Telangana,India,2020-04-24
6acd3556-07b9-41c6-89ea-aa6436be4b9b,Customer_1053,user44522@example.com,Bangalore,Karnataka,India,2021-04-09
4f03adab-d2d0-42a5-b868-42e8cbb63c15,Customer_2743,user91959@example.com,Bangalore,Karnataka,India,2021-06-03
88be6ed5-3d9d-4774-becc-a3ba29945f51,Customer_9317,user89818@example.com,Kolkata,West Bengal,India,2022-05-11
2a5a86e3-7829-4d9e-a5d2-4ac174a85243,Customer_7126,user31174@example.com,Chennai,Tamil Nadu,India,2020-06-05
c1ba696a-3ae4-4357-bc95-7b12a43db5bd,Customer_6310,user74042@example.com,Mumbai,Maharashtra,India,2021-09-05
e5af65d2-861a-4e40-a03e-7739af2bd4a5,Customer_6947,user50306@example.com,Mumbai,Maharashtra,India,2020-04-24
e72e1b2e-d0d8-427a-8b7f-cd887cfcbeca,Customer_4946,user84364@example.com,Chennai,Tamil Nadu,India,2020-02-29
ab10b06e-e5c4-480e-bfc8-ef9c045e12d6,Customer_8962,user19071@example.com,Delhi,Delhi,India,2020-03-28
57b97b8f-442e-462a-afa5-de205e62cf35,Customer_8787,user82063@example.com,Bangalore,Karnataka,India,2020-05-11
7bbd3624-d1e3-4be3-9317-e4621fe1258a,Customer_9645,user89507@example.com,Bangalore,Karnataka,India,2020-09-28
a8cdabc2-b666-4bdd-a573-ddea5eea602d,Customer_9835,user36365@example.com,Pune,Maharashtra,India,2020-08-04
7f216148-dfb7-44d7-8285-de599d6f960b,Customer_7118,user67422@example.com,Kolkata,West Bengal,India,2021-02-12
5e9d6d41-643e-4277-8cd3-954cc41e4879,Customer_5061,user39451@example.com,Ahmedabad,Gujarat,India,2020-05-03
9f6f0a83-3a98-42d7-97b9-83f3504425f9,Customer_1344,user87110@example.com,Delhi,Delhi,India,2020-12-12
